"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","id","sizeCat","number"
"50","NJS_43",247,"NJS","NJS_43_0_0","Kharaba Tibn or Gar Sur",0,0,0,0,0,0,0,0,0,0,17.3001,0,18.6001,0,0,0,0,4.2001,0,0.2001,0,0,0,0,0,0,808136.273488889,4070580.42984444,18.6001,0,17.3001,18.6001,4.2001,4.2001,0.2001,2.6139408049e-05,888,"",NA,4.2001,"EBA2,MBA,LBA,IA1,IA2",NA,266,4,347504
"51","NJS_45",249,"NJS","NJS_45_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0.6001,0,0.6001,0,0,0,0,0,0,802343.4290875,4066882.07135,2.5001,1.3001,0,2.5001,0.6001,0.6001,0.6001,0,NA,"",NA,0.6001,"EBA1,MBA,LBA,IA1,IA2",NA,268,2,413498
"52","NJS_48",252,"NJS","NJS_48_0_0","",0,0,0,22.9001,0,0,0,0,0,0,3.2001,0,22.5001,0,0,0,0,1.7001,0,18.9001,0,0,0,0,0,0,805011.2048,4069271.0296375,22.9001,22.9001,3.2001,22.5001,1.7001,1.7001,18.9001,9.063194205e-06,540,"",NA,1.7001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,269,4,555880
"53","NJS_51",256,"NJS","NJS_51_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9001,0,1.0001,0,0,0,0,0,0,804731.12385,4067131.00995,2.9001,0,0,0,2.9001,2.9001,1.0001,0,NA,"",NA,2.9001,"LBA,IA1,IA2",NA,273,2,563327
"54","NJS_57",261,"NJS","NJS_57_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0.9001,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0,0,807742.147933333,4069547.06603333,1.3001,1.3001,0.9001,0,0.9001,0.9001,0.9001,0,NA,"",NA,0.9001,"EBA1,EBA2,LBA,IA1,IA2",NA,277,2,542013
"55","NJS_69",273,"NJS","NJS_69_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,0.8001,0,0,0,0,0,0,793720.08656,4063013.58106,0.8001,0,0,0,0.8001,0.8001,0.8001,0,NA,"",NA,0.8001,"LBA,IA1,IA2",NA,283,1,347200
"56","NJS_71",275,"NJS","NJS_71_0_0","Tell Hamide",0,0,0,0,0,0,0,0,0,0,5.0001,0,5.6001,0,5.6001,0,0,5.6001,0,0,0,0,0,0,0,0,788349.95438,4069249.49406,5.6001,0,5.0001,5.6001,5.6001,5.6001,0,0,NA,"",NA,5.6001,"EBA2,MBA,LBA,IA1",NA,285,3,407985
"57","NJS_73",277,"NJS","NJS_73_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,1.5001,0,2.3001,0,0,0,0,0,0,789214.4367,4076534.1259,2.3001,0,0,1.5001,1.5001,1.5001,2.3001,0,NA,"",NA,1.5001,"MBA,LBA,IA1,IA2",NA,287,2,551109
"58","NJS_9",216,"NJS","NJS_9_0_0","Tell Kuran",0,0,0,2.4001,0,0,0,0,0,0,0,0,6.6001,0,0,0,0,6.6001,0,6.6001,0,0,0,0,0,0,798556.72546,4074200.07556,6.6001,2.4001,0,6.6001,6.6001,6.6001,6.6001,0,NA,"",NA,6.6001,"EBA1,MBA,LBA,IA1,IA2",NA,295,3,537300
"59","NJS_99",301,"NJS","NJS_99_0_0","(Tell Bahri esh-Shamal)",0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,3.8001,0,3.8001,0,0,0,0,0,0,783695.671542857,4059741.72852857,3.8001,0,0,1.0001,3.8001,3.8001,3.8001,7.720457605e-06,107,"",NA,3.8001,"MBA,LBA,IA1,IA2",NA,303,2,556388
