Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
NJS_43,247,NJS,NJS_43_0_0,(Kharaba Tibn / Tell Abu Hajar),0,0,0,0,0,0,0,0,0,0,17.3001,0,18.6001,0,0,0,0,4.2001,0,0.2001,0,0,0,0,0,0,808136.273488889,4070580.42984444,1,0,17.3001,18.6001,4.2001,4.2001,0.2001,2.6139408049e-005,888,,,18.6001,"EBA2,MBA,LBA,IA1,IA2",,142595
NJS_45,249,NJS,NJS_45_0_0,,0,0,0,1.3001,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0.6001,0,0.6001,0,0,0,0,0,0,802343.4290875,4066882.07135,1,1.3001,0,2.5001,0.6001,0.6001,0.6001,0,,,,2.5001,"EBA1,MBA,LBA,IA1,IA2",,80281
NJS_48,252,NJS,NJS_48_0_0,,0,0,0,22.9001,0,0,0,0,0,0,3.2001,0,22.5001,0,0,0,0,1.7001,0,18.9001,0,0,0,0,0,0,805011.2048,4069271.0296375,1,22.9001,3.2001,22.5001,1.7001,1.7001,18.9001,9.063194205e-006,540,,,22.9001,"EBA1,EBA2,MBA,LBA,IA1,IA2",,160292
NJS_51,256,NJS,NJS_51_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9001,0,1.0001,0,0,0,0,0,0,804731.12385,4067131.00995,1,0,0,0,2.9001,2.9001,1.0001,0,,,,2.9001,"LBA,IA1,IA2",,183609
NJS_57,261,NJS,NJS_57_0_0,,0,0,0,1.3001,0,0,0,0,0,0,0.9001,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0,0,807742.147933333,4069547.06603333,1,1.3001,0.9001,0,0.9001,0.9001,0.9001,0,,,,1.3001,"EBA1,EBA2,LBA,IA1,IA2",,20484
NJS_69,273,NJS,NJS_69_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,0.8001,0,0,0,0,0,0,793720.08656,4063013.58106,1,0,0,0,0.8001,0.8001,0.8001,0,,,,0.8001,"LBA,IA1,IA2",,139154
NJS_71,275,NJS,NJS_71_0_0,,0,0,0,0,0,0,0,0,0,0,5.0001,0,5.6001,0,5.6001,0,0,5.6001,0,0,0,0,0,0,0,0,788349.95438,4069249.49406,1,0,5.0001,5.6001,5.6001,5.6001,0,0,,,,5.6001,"EBA2,MBA,LBA,IA1",,106453
NJS_73,277,NJS,NJS_73_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,1.5001,0,0,0,0,1.5001,0,2.3001,0,0,0,0,0,0,789214.4367,4076534.1259,1,0,0,1.5001,1.5001,1.5001,2.3001,0,,,,2.3001,"MBA,LBA,IA1,IA2",,153050
NJS_9,216,NJS,NJS_9_0_0,,0,0,0,2.4001,0,0,0,0,0,0,0,0,6.6001,0,0,0,0,6.6001,0,6.6001,0,0,0,0,0,0,798556.72546,4074200.07556,1,2.4001,0,6.6001,6.6001,6.6001,6.6001,0,,,,6.6001,"EBA1,MBA,LBA,IA1,IA2",,125188
NJS_99,301,NJS,NJS_99_0_0,(Tell Bahri esh-Shamal),0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,3.8001,0,3.8001,0,0,0,0,0,0,783695.671542857,4059741.72852857,1,0,0,1.0001,3.8001,3.8001,3.8001,7.720457605e-006,107,,,3.8001,"MBA,LBA,IA1,IA2",,162413
TBS_11,983,TBS,TBS_11_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394099,0,0,0,0,0,0.394099,0,0,0,0,648513.2435,4064926.5073,1,0,0,0,0.394099,0.394099,0.394099,0,,,,0.394099,"LBA,IA1,IA2",,160695
TBS_13,944,TBS,TBS_13_0_0,Khirbet Sha'ib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,0,1.77,0,0,0,0,653395.699,4068207.6711,1,0,0,0,1.77,1.77,1.77,0,,,,1.77,"LBA,IA1,IA2",,73749
TBS_14,945,TBS,TBS_14_0_0,Qariyat Sewad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,652959.5049,4066897.6069,1,0,0,0,0,0.77,0.77,0,,,,0.77,"IA1,IA2",,151518
TBS_16,946,TBS,TBS_16_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5401,0.5401,0,0,0,0,0,0,643713.150633333,4059961.39176667,1,0,0,0,0,0.5401,0.5401,0,,,,0.5401,"IA1,IA2",,38963
TBS_18,947,TBS,TBS_18_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,644743.6228,4059081.6178,1,0,0,0,0,0.77,0.77,0,,,,0.77,"IA1,IA2",,117465
TBS_21,948,TBS,TBS_21_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,648640.3705,4060896.219,1,0,0,0,0,1.77,1.77,0,,,,1.77,"IA1,IA2",,175079
TBS_22,949,TBS,TBS_22_0_0,(Bergul el-Buz),0,0,0,0.9901,0,0,0,0,0,0,0.7901,0.7901,0,0,0,2.2181,0,0,0,0,0,2.2181,0,0,0,0,651543.4758,4062195.51755,1,0.9901,0.7901,0,2.2181,2.2181,2.2181,1.4341866595e-005,92,,,2.2181,"EBA1,EBA2,LBA,IA1,IA2",,69528
TBS_23,950,TBS,TBS_23_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,635298.9105,4064487.746,1,0,0,0,0,0.35,0.35,0,,,,0.35,"IA1,IA2",,180884
TBS_25,952,TBS,TBS_25_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,646112.2998,4068643.1122,1,0,0,0,0,1.88,1.88,0,,,,1.88,"IA1,IA2",,176528
TBS_27,953,TBS,TBS_27_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,644254.1142,4068610.4477,1,0,0,0,0,0.63,0.63,0,,,,0.63,"IA1,IA2",,98959
TBS_29,954,TBS,TBS_29_0_0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8201,0,0,0,0,643525.8946,4069972.4641,1,0,0,0,0,0.8201,0.8201,1.778889619e-006,902,,,0.8201,"IA1,IA2",,83696
TBS_3,941,TBS,TBS_3_0_0,Manefa-Khirbet 'Uqla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77,0,0,0,0,641023.5609,4062120.0387,1,0,0,0,0,1.77,1.77,0,,,,1.77,"IA1,IA2",,119321
