Site_ID,FID_1,Dataset_1,Major_ID_1,Tuna_area_1,Site_Name,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA_T,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA_FC,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y
LLN_186,75,LLN,LLN_186_0_0,45.9716926051,Farfara,0,176,176,0,0,176,0,176,0,176,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,707967.0257,4077806.9197
LLN_187,34,LLN,LLN_187_0_0,1.06771618438,Doueitch,0.24,0.24,0,0,0,0.24,0,0.24,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,708528.0953,4074804.5872
LLN_189,28,LLN,LLN_189_0_0,14.5584270135,Ahmed,2.25,0,2.25,0,0,2.25,0,2.25,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,709528.3978,4081186.7071
LLN_19,176,LLN,LLN_19_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,721885.9912,4085552.2445
LLN_190,126,LLN,LLN_190_0_0,0,Abu Tuwain,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,712202.1508,4078577.9061
LLN_193,76,LLN,LLN_193_0_0,7.62836480011,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0.7501,0,0.7501,0,0,0,0,0,0,0,0,0,0,0,707089.3356,4081101.9638
LLN_196,77,LLN,LLN_196_0_0,3.7189005736,Shalumiyah,0,3.99,0,0,0,0,0,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,727157.1651,4105021.508
LLN_197,102,LLN,LLN_197_0_0,3.14538169577,Mezgaft,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,732557.541,4108018.6473
LLN_198,127,LLN,LLN_198_0_0,0,Qubik,0,0,1.76,0,0,1.76,0,1.76,0,0,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0,0,0,733707.9775,4106932.6972
LLN_2,128,LLN,LLN_2_0_0,0,Qiru,0,0,0,0,0,2.04,0,2.04,0,2.04,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,718786.7053,4098050.2512
LLN_20,4,LLN,LLN_20_0_0,2.88425115353,Gir Sheyran,0,3.84,3.84,0,0,3.84,0,0,0,0,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,0,0,724734.5018,4098670.5759
LLN_200,130,LLN,LLN_200_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716174.8991,4056778.0434
LLN_201,129,LLN,LLN_201_0_0,0,Hansa,0,0,0,0,0,0,0,32.5,0,32.5,0,0,32.5,0,32.5,0,0,0,0,0,0,0,0,0,0,0,716082.2948,4055296.3737
LLN_203,7,LLN,LLN_203_0_0,0,Khzeimok,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,730064.7513,4102936.3935
LLN_204,131,LLN,LLN_204_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728028.6078,4056712.6569
LLN_206,107,LLN,LLN_206_0_0,0,Ahwain,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729515.4079,4054535.038
LLN_208,177,LLN,LLN_208_0_0,0,Farhan er-Rashid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,721945.9231,4085496.308
LLN_209,90,LLN,LLN_209_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731032.9688,4055500.3039
LLN_210,106,LLN,LLN_210_0_0,0,Umm et-Tlal,0,0,0,0,0,0,0,0,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0,0,0,0,0,728294.9801,4056306.1251
LLN_212,48,LLN,LLN_212_0_0,44.1004760286,al-Andalus,0,0,0,0,0,0,0,0,0,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,733816.8245,4056171.4814
LLN_218,178,LLN,LLN_218_0_0,0,Qortoba Kabira,0,0,0,0,0,0,0,0,0,0,0,0,5.52,0,5.52,0,0,0,0,0,0,0,0,0,0,0,722033.8233,4085524.2763
LLN_219,108,LLN,LLN_219_0_0,0,D'ba'a,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,6.3,0,0,6.3,0,0,0,0,0,0,0,0,722053.459,4061806.0551
LLN_22,5,LLN,LLN_22_0_0,0,Gir Dahul,0,0,0,0,0,3.75,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,724903.3954,4100430.5682
LLN_220,45,LLN,LLN_220_0_0,0,Abra,0,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726591.9388,4067088.1463
LLN_221,46,LLN,LLN_221_0_0,0,Abu Zayyan,0,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,726927.5725,4066516.1305
LLN_223,47,LLN,LLN_223_0_0,16.5221273385,Sultan et-Tellul,0,7.8,0,0,0,0,0,7.8,0,0,0,0,7.8,0,7.8,0,0,7.8,0,0,0,0,0,0,0,0,730368.3696,4063486.1668
LLN_225,78,LLN,LLN_225_0_0,0,Sagar East,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,9.72,0,0,9.72,0,0,0,0,0,0,0,0,732817.7488,4066907.9868
LLN_226,132,LLN,LLN_226_0_0,0,Haman,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,733087.1092,4064864.2167
LLN_227,110,LLN,LLN_227_0_0,7.02413008068,Bouwaitikh,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,734339.3726,4071857.3642
LLN_228,200,LLN,LLN_228_0_0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722143.117,4085775.9304
