"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"39","136","LLN_38",186,"LLN","LLN_38_0_0","",0,0,0,1e-04,0,0,0,0,0,0,1e-04,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721826.0592,4085791.9724,NA,1e-04,1e-04,1e-04,0,0,0,0,NA,"",NA,2.1,"EBA1,EBA2,MBA",NA,8
"40","137","LLN_39",187,"LLN","LLN_39_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721802.0864,4085752.0177,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"41","138","LLN_40",188,"LLN","LLN_40_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721774.1182,4085692.0858,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"42","139","LLN_42",189,"LLN","LLN_42_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721810.0774,4085636.1493,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"43","14","LLN_118",119,"LLN","LLN_118_0_0","Shibaniyeh",0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,712552.8662,4091896.0649,1.2,0,0,1.2,0,0,0,0,NA,"",NA,1.2,"MBA",NA,2
"44","140","LLN_43",190,"LLN","LLN_43_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721802.0864,4085584.2082,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"45","141","LLN_44",20,"LLN","LLN_44_0_0","Mutu",0,0,0,0,0,4.1,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,721385.8056,4089265.0609,4.1,0,4.1,4.1,0,0,0,0,NA,"",NA,4.1,"EBA2,MBA",NA,2
"46","142","LLN_46",191,"LLN","LLN_46_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721834.0501,4085536.2627,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"47","143","LLN_47",21,"LLN","LLN_47_0_0","Hamara",0,2.04,2.04,0,0,2.04,0,0,0,0,0,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,721634.1165,4086708.9056,2.04,2.04,2.04,2.04,0,0,0,3.701807156e-06,321,"",NA,2.04,"EBA1,EBA2,MBA",NA,2
"48","144","LLN_48",192,"LLN","LLN_48_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,721878.0002,4085504.299,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"49","145","LLN_49",50,"LLN","LLN_49_0_0","Qarassa",0,10.9,0,0,0,0,0,10.9,0,0,0,0,10.9,0,10.9,0,0,10.9,0,0,0,0,0,0,0,0,720576.4412,4078638.8408,10.9,10.9,10.9,10.9,10.9,10.9,0,0,NA,"",NA,10.9,"EBA1,EBA2,MBA,LBA,IA1",NA,4
"50","146","LLN_50",193,"LLN","LLN_50_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,722009.8506,4085484.3216,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"51","147","LLN_51",152,"LLN","LLN_51_0_0","Qotba Tahtani",0,2.25,2.25,0,0,2.25,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,719942.2424,4095237.0037,2.25,2.25,2.25,2.25,0,0,0,0,NA,"",NA,2.25,"EBA1,EBA2,MBA",NA,2
"52","148","LLN_52",6,"LLN","LLN_52_0_0","Aziz",0,2.5536,2.5536,0,0,2.5536,0,2.5536,0,0,0,0,2.5536,0,0,0,0,0,0,0,0,0,0,0,0,0,726356.4286,4101013.2091,2.5536,2.5536,2.5536,2.5536,0,0,0,0,NA,"",NA,2.5536,"EBA1,EBA2,MBA",NA,2
"53","149","LLN_54",51,"LLN","LLN_54_0_0","Abu Khazaf",0,6.8,0,6.8,0,0,0,6.8,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,716144.1041,4083231.2352,6.8,6.8,6.8,6.8,0,0,0,1.4426159502e-05,317,"",NA,6.8,"EBA1,EBA2,MBA",NA,3
"54","15","LLN_12",16,"LLN","LLN_12_0_0","Awda",3.52,0,3.52,0,0,3.52,0,3.52,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,0,0,0,0,734992.3783,4092482.7708,3.52,3.52,3.52,3.52,0,0,0,4.498039214e-06,628,"",NA,3.52,"EBA1,EBA2,MBA",NA,2
"55","150","LLN_55",19,"LLN","LLN_55_0_0","Mohammed Diyab",43,0,43,0,0,43,0,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0,0,728393.4121,4089588.6093,43,43,43,43,43,43,0,9.760890266e-06,689,"",NA,43,"EBA1,EBA2,MBA,LBA,IA1",NA,5
"56","151","LLN_57",194,"LLN","LLN_57_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,722081.7689,4085520.2808,NA,0,0,1e-04,0,0,0,0,NA,"",NA,2.1,"MBA",NA,8
"57","152","LLN_58",151,"LLN","LLN_58_0_0","Zahara Saghira",0,0,0,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,715476.4159,4050399.0897,5.85,0,0,5.85,0,0,0,0,NA,"",NA,5.85,"MBA",NA,3
