"","id","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","sizeCat"
"45","253","NJS_23",229,"NJS","NJS_23_0_0","Tell Wardan",0,0,0,5.0001,0,0,0,0,0,0,0,0,5.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,799319.374133333,4068567.47576667,5.0001,5.0001,0,5.0001,0,0,0,4.011215874e-06,379,"",NA,5.0001,"EBA1,MBA",NA,3
"46","255","NJS_26",232,"NJS","NJS_26_0_0","(Tell el-Uwaynat 15)",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800290.2181,4067313.52875,7.04482355e-06,1e-04,0,0,0,0,0,7.04482355e-06,504,"",NA,7.04482355e-06,"EBA1",NA,1
"47","256","NJS_28",234,"NJS","NJS_28_0_0","",0,0,0,4.8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791066.816166667,4072602.05493333,4.8001,4.8001,0,0,0,0,0,0,NA,"",NA,4.8001,"EBA1",NA,2
"48","257","NJS_29",235,"NJS","NJS_29_0_0","",0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,3e-04,0,3e-04,0,0,0,0,0,0,790366.5326,4073810.72766,8.9002,8.9001,8.9001,8.9002,3e-04,3e-04,3e-04,0,NA,"",NA,8.9001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,3
"49","259","NJS_30",236,"NJS","NJS_30_0_0","",0,0,0,4.3001,0,0,0,0,0,0,0,0,3.4001,0,0,0,0,0.6001,0,1.3001,0,0,0,0,0,0,789206.028933333,4074918.67673333,4.3001,4.3001,0,3.4001,0.6001,0.6001,1.3001,0,NA,"",NA,4.3001,"EBA1,MBA,LBA,IA1,IA2",NA,2
"50","260","NJS_35",240,"NJS","NJS_35_0_0","",0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8002,0,0,0,0,0,0,801746.6923,4067935.04305,1.8002,2e-04,0,0,0,0,1.8002,0,NA,"",NA,1.8002,"EBA1,IA2",NA,2
"51","261","NJS_37",241,"NJS","NJS_37_0_0","",0,0,0,1.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.7001,0,0.5001,0,0,0,0,0,0,803390.74525,4072279.2036875,1.7001,1.5,0,0.7,1.7001,1.7001,0.5001,1.8687135521e-05,464,"",NA,1.5,"EBA1,MBA,LBA,IA1,IA2",NA,2
"52","263","NJS_39",243,"NJS","NJS_39_0_0","Khirbet Gar Sur",0,0,0,1.5002,0,0,0,0,0,0,0,0,2e-04,0,0,0,0,2e-04,0,0,0,0,0,0,0,0,803819.48418,4071087.5743,1.5002,1.5002,0,2e-04,2e-04,2e-04,0,0,NA,"",NA,1.5002,"EBA1,MBA,LBA,IA1",NA,2
"53","264","NJS_40",244,"NJS","NJS_40_0_0","",0,0,0,0.5001,0,0,0,0,0,0,1.9001,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,805213.149466667,4071386.20273333,1.9001,0.5001,1.9001,0,0,0,0.5001,0,NA,"",NA,0.5001,"EBA1,EBA2,IA2",NA,2
"54","265","NJS_42",246,"NJS","NJS_42_0_0","",0,0,0,4.1001,0,0,0,0,0,0,2.5001,0,6.0001,0,0.7001,0,0,0.7001,0,3.0001,0,0,0,0,0,0,802952.587109091,4069857.60347273,6.0001,4.1001,2.5001,6.0001,0.7001,0.7001,3.0001,1.4255301246e-05,320,"",NA,4.1001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,3
"55","267","NJS_44",248,"NJS","NJS_44_0_0","",0,0,0,1.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1001,0,0,0,0,0,0,801320.373375,4065588.185275,1.1001,1.1001,0,0,0,0,1.1001,0,NA,"",NA,1.1001,"EBA1,IA2",NA,2
"56","268","NJS_45",249,"NJS","NJS_45_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0.6001,0,0.6001,0,0,0,0,0,0,802343.4290875,4066882.07135,2.5001,1.3001,0,2.5001,0.6001,0.6001,0.6001,0,NA,"",NA,1.3001,"EBA1,MBA,LBA,IA1,IA2",NA,2
"57","269","NJS_48",252,"NJS","NJS_48_0_0","",0,0,0,22.9001,0,0,0,0,0,0,3.2001,0,22.5001,0,0,0,0,1.7001,0,18.9001,0,0,0,0,0,0,805011.2048,4069271.0296375,22.9001,22.9001,3.2001,22.5001,1.7001,1.7001,18.9001,9.063194205e-06,540,"",NA,22.9001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,4
"58","27","LLN_14",11,"LLN","LLN_14_0_0","Bayandur",0,9.66,9.66,0,0,9.66,0,9.66,0,0,0,0,9.66,0,0,0,0,9.66,0,0,0,0,0,0,0,0,716994.3292,4100983.7145,9.66,9.66,9.66,9.66,9.66,9.66,0,8.405007141e-06,770,"",NA,9.66,"EBA1,EBA2,MBA,LBA,IA1",NA,3
"59","270","NJS_49",254,"NJS","NJS_49_0_0","",0,0,0,1.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804969.776575,4068147.381675,1.9001,1.9001,0,0,0,0,0,0,NA,"",NA,1.9001,"EBA1",NA,2
"60","271","NJS_5",212,"NJS","NJS_5_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798462.13866,4072529.49216,1.3001,1.3001,0,0,0,0,0.7001,0,NA,"",NA,1.3001,"EBA1,IA2",NA,2
"61","272","NJS_50",255,"NJS","NJS_50_0_0","",0,0,0,1.6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,803735.7356,4068091.177775,1.6001,1.6001,0,0,0,0,0.8001,0,NA,"",NA,1.6001,"EBA1,IA2",NA,2
"62","276","NJS_55",259,"NJS","NJS_55_0_0","",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806295.141533333,4068710.879,5,1e-04,0,0,0,0,0,0,NA,"",NA,2.33,"EBA1",NA,2
"63","277","NJS_57",261,"NJS","NJS_57_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0.9001,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0,0,807742.147933333,4069547.06603333,1.3001,1.3001,0.9001,0,0.9001,0.9001,0.9001,0,NA,"",NA,1.3001,"EBA1,EBA2,LBA,IA1,IA2",NA,2
"64","278","NJS_58",262,"NJS","NJS_58_0_0","Tell Warada or Hilawat",0,0,0,9.9001,0,0,0,0,0,0,0.4001,0,0.3001,0,0,0,0,0,0,2.5001,0,0,0,0,0,0,799045.973933333,4065838.78326667,9.9001,9.9001,0.4001,0.3001,0,0,2.5001,3.995863338e-06,565,"",NA,9.9001,"EBA1,EBA2,MBA,IA2",NA,3
"65","280","NJS_60",264,"NJS","NJS_60_0_0","",0,0,0,7.9001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,795941.742725,4065839.778375,7.9001,7.9001,0,0,0,0,0.7001,0,NA,"",NA,7.9001,"EBA1,IA2",NA,3
"66","281","NJS_61",265,"NJS","NJS_61_0_0","",0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,795219.7519,4066536.4173,1.0001,1.0001,0,0,0,0,1.0001,0,NA,"",NA,1.0001,"EBA1,IA2",NA,2
"67","284","NJS_7",214,"NJS","NJS_7_0_0","",0,0,0,0.4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794069.146675,4071086.079325,0.4001,0.4001,0,0,0,0,0,0,NA,"",NA,0.4001,"EBA1",NA,1
"68","286","NJS_72",276,"NJS","NJS_72_0_0","",0,0,0,1.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789593.477325,4075506.448275,1.0001,1.0001,0,0,0,0,0,0,NA,"",NA,1.0001,"EBA1",NA,2
"69","291","NJS_80",284,"NJS","NJS_80_0_0","",0,0,0,0.6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6001,0,0,0,0,0,0,787446.558875,4072342.076175,0.6001,0.6001,0,0,0,0,0.6001,0,NA,"",NA,0.6001,"EBA1,IA2",NA,1
"70","293","NJS_86",291,"NJS","NJS_86_0_0","Tell al-Hilwa",0,0,0,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789657.8826,4067594.5578,NA,1e-04,0,0,0,0,0,0,NA,"",NA,1.8002,"EBA1",NA,8
"71","294","NJS_87",289,"NJS","NJS_87_0_0","",0,0,0,2.8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6001,0,0,0,0,0,0,787984.84745,4067614.623525,2.8001,2.8001,0,0,0,0,0.6001,0,NA,"",NA,2.8001,"EBA1,IA2",NA,2
"72","295","NJS_9",216,"NJS","NJS_9_0_0","Tell Kuran",0,0,0,2.4001,0,0,0,0,0,0,0,0,6.6001,0,0,0,0,6.6001,0,6.6001,0,0,0,0,0,0,798556.72546,4074200.07556,6.6001,2.4001,0,6.6001,6.6001,6.6001,6.6001,0,NA,"",NA,2.4001,"EBA1,MBA,LBA,IA1,IA2",NA,3
