L1,OBJECTID_1,hw_type,Corrected,Shape_Leng,angle,angle_abs,startX,midX,endX,startY,midY,endY
2644,2518,"0","1",729.583130041,0.0111858039024051,0.0111858039024051,656549.5136,656692.507319115,656838.4391,4087367.8514,4087703.44890029,4088037.7778
2645,2519,"0","1",580.903078057,0.00620828460606269,0.00620828460606269,646089.2183,645879.933306614,645644.3685,4066954.9428,4067155.73527856,4067325.6509
2646,2520,"2","1",1256.25917753,-0.0192723750262189,179.980727624974,642168.3733,642443.217584738,642659.5942,4066665.2486,4066102.32043631,4065513.7502
2647,2521,"2","1",577.869207922,-0.00913255020085195,179.990867449799,642720.1994,642812.13200613,642908.3944,4065287.6637,4065013.88807478,4064742.2171
2648,2522,"2","1",806.305970253,-0.0119624050075932,179.988037594992,642480.9684,642640.927075131,642847.7892,4065418.4433,4065048.4484666,4064703.9401
2649,2523,"0","1",405.213873705,-0.00469960415691948,179.995300395843,642528.8146,642683.301972706,642819.0815,4064968.6891,4064837.97772278,4064687.9914
2650,2524,"0","1",637.933347679,-0.0015269116107364,179.998473088389,642131.7239,641815.782966614,641500.5235,4076926.9597,4076883.12973728,4076835.4261
2651,2525,"0","1",162.090821402,-0.00114499617590319,179.998855003824,641500.5235,641427.090343739,641353.6883,4076835.4261,4076801.13428429,4076766.7759
2652,2526,"0","1",264.180481551,0.000445263932162194,0.000445263932162194,641500.5235,641372.58998741,641241.1783,4076835.4261,4076867.42517869,4076862.1234
2653,2527,"0","1",459.235118576,0.0063032624467866,0.0063032624467866,643103.3667,643230.659094854,643364.6188,4074840.0442,4075031.13759897,4075217.6203
2654,2528,"0","0",457.087366404,-0.00407594392703374,179.995924056073,646149.0958,646342.214341052,646535.8507,4070315.2226,4070193.03793089,4070071.6494
2655,2529,"2","1",808.227662457,-0.0107632674526513,179.989236732547,645031.9209,644784.834368626,644543.1286,4071168.7915,4070849.1230106,4070525.2973
