Site_ID,FID_1,Datst_1,Mj_ID_1,Site_Nm,EJZ1,EJZ1_2,EJZ2,NINV,EJZ3a,EJZ3,EJZ3b,AKK,EJZ4,EJZ4C,LTM,EBA_FCP,KHA,MBA_LBA,NUZI,LBA,SM,MASS,EIA_FCP,LASS,MIA_FCP,EIA_MIA,IA,IA_FCP,LIA,PASS,POINT_X,POINT_Y,cnfdnc_,EBA1,EBA2,MBA,LBA_brd,IA1,IA2,Tuna_sz,Tn_plyg,Name,POINT_Z,Size,Period,Tuna,number
LLN_54,51,LLN,LLN_54_0_0,Abu Khazaf,0,6.8,0,6.8,0,0,0,6.8,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,716144.1041,4083231.2352,1,6.8,6.8,6.8,0,0,0,1.4426159502e-005,317,,,6.8,"EBA1,EBA2,MBA",,179449
LLN_55,19,LLN,LLN_55_0_0,Mohammed Diyab,43,0,43,0,0,43,0,43,0,43,0,0,43,0,43,0,0,43,0,0,0,0,0,0,0,0,728393.4121,4089588.6093,1,43,43,43,43,43,0,9.760890266e-006,689,,,43,"EBA1,EBA2,MBA,LBA,IA1",,174297
LLN_59,25,LLN,LLN_59_0_0,(Tell Chermoukh),0.0001,0,0.0001,0,0,0.0001,0,0.0001,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,712485.7021,4085005.0733,1,0.0001,0.0001,0.0001,0,0,0,7.910593616e-006,542,,,7.910593616e-006,"EBA1,EBA2,MBA",,167951
LLN_60,32,LLN,LLN_60_0_0,Abu Farah,6.38,0,6.38,0,0,6.38,0,6.38,0,6.38,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,733890.5264,4086178.6153,1,6.38,6.38,6.38,0,0,0,3.0407164301e-005,664,,,6.38,"EBA1,EBA2,MBA",,172636
LLN_61,153,LLN,LLN_61_0_0,Abu Hajjeira,0,0,0,0,0,0,0,3.042,0,0,0,0,3.042,0,0,0,0,0,0,0,0,0,0,0,0,0,736090.3657,4088672.1338,1,0,3.042,3.042,0,0,0,1.0726635194e-005,611,,,3.042,"EBA2,MBA",,190514
LLN_62,18,LLN,LLN_62_0_0,Nabua,0,0,0,0,0,1.767145838,0,0,0,0,0,0,1.767145838,0,0,0,0,1.767145838,0,0,0,0,0,0,0,0,730930.56,4092465.965,1,0,1.767145838,1.767145838,1.767145838,1.767145838,0,2.501169237e-006,150,,,1.767145838,"EBA2,MBA,LBA,IA1",,180437
LLN_63,52,LLN,LLN_63_0_0,Wulayqi Thirthar,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,726726.6898,4091212.1779,1,0,2,2,0,0,0,0,,,,2,"EBA2,MBA",,184972
LLN_68,154,LLN,LLN_68_0_0,,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,723624.6354,4087689.7596,1,0.5,0.5,0.5,0,0,0,0,,,,0.5,"EBA1,EBA2,MBA",,152533
LLN_69,54,LLN,LLN_69_0_0,,0,0,0.0001,0,0,0,0,0,0,0,0,0,0.0001,0,0.0001,0,0,0.0001,0,0,0,0,0,0,0,0,724291.5438,4081730.8732,1,0,0.0001,0.0001,0.0001,0.0001,0,6.647292026e-006,292,,,6.647292026e-006,"EBA2,MBA,LBA,IA1",,184585
LLN_87,62,LLN,LLN_87_0_0,Bazouna Kabira,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,731802.6239,4088159.7422,1,5,5,5,0,0,0,0,,,,5,"EBA1,EBA2,MBA",,169066
