"","Site_ID","FID_1","Datst_1","Mj_ID_1","Site_Nm","EJZ1","EJZ1_2","EJZ2","NINV","EJZ3a","EJZ3","EJZ3b","AKK","EJZ4","EJZ4C","LTM","EBA_FCP","KHA","MBA_LBA","NUZI","LBA","SM","MASS","EIA_FCP","LASS","MIA_FCP","EIA_MIA","IA","IA_FCP","LIA","PASS","POINT_X","POINT_Y","cnfdnc_","EBA1","EBA2","MBA","LBA_brd","IA1","IA2","Tuna_sz","Tn_plyg","Name","POINT_Z","Size","Period","Tuna","number","id"
"49","NJS_24",230,"NJS","NJS_24_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2001,0,0,0,0,0,0,799091.878175,4068181.1086,1,0,0,0,0,0,1.2001,0,NA,"",NA,1.2001,"IA2",NA,149515,254
"50","NJS_29",235,"NJS","NJS_29_0_0","",0,0,0,8.9001,0,0,0,0,0,0,8.9001,0,8.9002,0,0,0,0,3e-04,0,3e-04,0,0,0,0,0,0,790366.5326,4073810.72766,1,8.9001,8.9001,8.9002,3e-04,3e-04,3e-04,0,NA,"",NA,8.9002,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,65469,257
"51","NJS_3",210,"NJS","NJS_3_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8001,0,0,0,0,0,0,796214.681725,4069877.112775,1,0,0,0,0,0,3.8001,0,NA,"",NA,3.8001,"IA2",NA,143482,258
"52","NJS_30",236,"NJS","NJS_30_0_0","",0,0,0,4.3001,0,0,0,0,0,0,0,0,3.4001,0,0,0,0,0.6001,0,1.3001,0,0,0,0,0,0,789206.028933333,4074918.67673333,1,4.3001,0,3.4001,0.6001,0.6001,1.3001,0,NA,"",NA,4.3001,"EBA1,MBA,LBA,IA1,IA2",NA,141625,259
"53","NJS_35",240,"NJS","NJS_35_0_0","",0,0,0,2e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8002,0,0,0,0,0,0,801746.6923,4067935.04305,1,2e-04,0,0,0,0,1.8002,0,NA,"",NA,1.8002,"EBA1,IA2",NA,184168,260
"54","NJS_37",241,"NJS","NJS_37_0_0","",0,0,0,1.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,1.7001,0,0.5001,0,0,0,0,0,0,803390.74525,4072279.2036875,1,1.5,0,0.7,1.7001,1.7001,0.5001,1.8687135521e-05,464,"",NA,1.7001,"EBA1,MBA,LBA,IA1,IA2",NA,87775,261
"55","NJS_38",242,"NJS","NJS_38_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0,0,0,0,0,0,801911.2718,4071801.0251,1,0,0,0,0,0,1.0001,0,NA,"",NA,1.0001,"IA2",NA,160520,262
"56","NJS_40",244,"NJS","NJS_40_0_0","",0,0,0,0.5001,0,0,0,0,0,0,1.9001,0,0,0,0,0,0,0,0,0.5001,0,0,0,0,0,0,805213.149466667,4071386.20273333,1,0.5001,1.9001,0,0,0,0.5001,0,NA,"",NA,1.9001,"EBA1,EBA2,IA2",NA,146189,264
"57","NJS_42",246,"NJS","NJS_42_0_0","",0,0,0,4.1001,0,0,0,0,0,0,2.5001,0,6.0001,0,0.7001,0,0,0.7001,0,3.0001,0,0,0,0,0,0,802952.587109091,4069857.60347273,1,4.1001,2.5001,6.0001,0.7001,0.7001,3.0001,1.4255301246e-05,320,"",NA,6.0001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,195922,265
"58","NJS_43",247,"NJS","NJS_43_0_0","(Kharaba Tibn / Tell Abu Hajar)",0,0,0,0,0,0,0,0,0,0,17.3001,0,18.6001,0,0,0,0,4.2001,0,0.2001,0,0,0,0,0,0,808136.273488889,4070580.42984444,1,0,17.3001,18.6001,4.2001,4.2001,0.2001,2.6139408049e-05,888,"",NA,18.6001,"EBA2,MBA,LBA,IA1,IA2",NA,142595,266
"59","NJS_44",248,"NJS","NJS_44_0_0","",0,0,0,1.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1001,0,0,0,0,0,0,801320.373375,4065588.185275,1,1.1001,0,0,0,0,1.1001,0,NA,"",NA,1.1001,"EBA1,IA2",NA,144380,267
"60","NJS_45",249,"NJS","NJS_45_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,2.5001,0,0,0,0,0.6001,0,0.6001,0,0,0,0,0,0,802343.4290875,4066882.07135,1,1.3001,0,2.5001,0.6001,0.6001,0.6001,0,NA,"",NA,2.5001,"EBA1,MBA,LBA,IA1,IA2",NA,80281,268
"61","NJS_48",252,"NJS","NJS_48_0_0","",0,0,0,22.9001,0,0,0,0,0,0,3.2001,0,22.5001,0,0,0,0,1.7001,0,18.9001,0,0,0,0,0,0,805011.2048,4069271.0296375,1,22.9001,3.2001,22.5001,1.7001,1.7001,18.9001,9.063194205e-06,540,"",NA,22.9001,"EBA1,EBA2,MBA,LBA,IA1,IA2",NA,160292,269
"62","NJS_5",212,"NJS","NJS_5_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7001,0,0,0,0,0,0,798462.13866,4072529.49216,1,1.3001,0,0,0,0,0.7001,0,NA,"",NA,1.3001,"EBA1,IA2",NA,190181,271
"63","NJS_50",255,"NJS","NJS_50_0_0","",0,0,0,1.6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,803735.7356,4068091.177775,1,1.6001,0,0,0,0,0.8001,0,NA,"",NA,1.6001,"EBA1,IA2",NA,184877,272
"64","NJS_51",256,"NJS","NJS_51_0_0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9001,0,1.0001,0,0,0,0,0,0,804731.12385,4067131.00995,1,0,0,0,2.9001,2.9001,1.0001,0,NA,"",NA,2.9001,"LBA,IA1,IA2",NA,183609,273
"65","NJS_52",257,"NJS","NJS_52_0_0","",0,0,0,0,0,0,0,0,0,0,0.8001,0,0,0,0,0,0,0,0,0.6001,0,0,0,0,0,0,806209.42758,4067419.856,1,0,0.8001,0,0,0,0.6001,0,NA,"",NA,0.8001,"EBA2,IA2",NA,113327,274
"66","NJS_57",261,"NJS","NJS_57_0_0","",0,0,0,1.3001,0,0,0,0,0,0,0.9001,0,0,0,0,0,0,0.9001,0,0.9001,0,0,0,0,0,0,807742.147933333,4069547.06603333,1,1.3001,0.9001,0,0.9001,0.9001,0.9001,0,NA,"",NA,1.3001,"EBA1,EBA2,LBA,IA1,IA2",NA,20484,277
